PLANT_ID,PLANT_NAME,FUEL_TYPE,REGION_NAME,STATE_NAME,UTILITY_TYPE,OWNER_NAME,INSTALLED_CAPACITY,EFFECTIVE_CAPACITY,WBES_ACR,SCADA_ID
11,Bhusawal,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,1210,1210,BHUSAWAL,"WRLDCMP.SCADA1.A0027512,WRLDCMP.SCADA1.A0044926,WRLDCMP.SCADA1.A0044930"
14,Chandrapur,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,2920,2920,CHANDRAPUR,"WRLDCMP.SCADA1.A0028135,WRLDCMP.SCADA1.A0028139,WRLDCMP.SCADA1.A0028143,WRLDCMP.SCADA1.A0028147,WRLDCMP.SCADA1.A0028151,WRLDCMP.SCADA3.A0100537,WRLDCMP.SCADA3.A0100540"
17,Dahanu,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,ADTPS,500,500,Dahanu,"WRLDCMP.SCADA1.A0046848,WRLDCMP.SCADA1.A0046849"
18,Dhariwal CTU,COAL,WEST REGION,MAHARASHTRA,REGIONAL_IPP,Dhariwal-STU (DIL),600,600,"DHARIWAL_ISTS, DHARIWAL_STU_MH, DHARIWAL_STU_OTHER",
27,GHATGHAR,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,250,250,,
28,GOM HYDRO,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,38,38,,
30,IEPL,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,IEPL,540,540,IEPL,WRLDCMP.SCADA1.A0046103
32,Jaigad,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,1200,1200,Jaigad,"WRLDCMP.SCADA1.A0045778, WRLDCMP.SCADA1.A0045782, WRLDCMP.SCADA1.A0045786,WRLDCMP.SCADA1.A0045774"
33,KHOPOLI,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,72,72,,
37,KOYNA DPH,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,40,40,,
38,KOYNA I AND II,HYDRO,WEST REGION,MAHARASHTRA,STATE_IPP,Maharashtra,600,600,,
39,KOYNA III,HYDRO,WEST REGION,MAHARASHTRA,STATE_IPP,Maharashtra,320,320,,
40,KOYNA ST-IV,HYDRO,WEST REGION,MAHARASHTRA,STATE_IPP,Maharashtra,1000,1000,,
41,Khaparkheda,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,1340,1340,KHAPERKHEDA,"WRLDCMP.SCADA1.A0030487,WRLDCMP.SCADA1.A0030490,WRLDCMP.SCADA1.A0030493,WRLDCMP.SCADA1.A0030496,WRLDCMP.SCADA1.A0045904"
